期數,開獎日期,今彩539中獎號碼,備註
4676,2022/08/06,"[6, 11, 18, 21, 35]",無
4675,2022/08/05,"[7, 9, 12, 16, 21]",無
4674,2022/08/04,"[2, 26, 28, 32, 37]",無
4673,2022/08/03,"[15, 19, 26, 29, 34]",無
4672,2022/08/02,"[6, 11, 18, 22, 26]",無
4671,2022/08/01,"[2, 3, 8, 18, 27]",無
4670,2022/07/30,"[5, 7, 12, 34, 38]",無
4669,2022/07/29,"[3, 29, 34, 38, 39]",無
4668,2022/07/28,"[4, 9, 25, 28, 34]",無
4667,2022/07/27,"[4, 5, 14, 29, 30]",無
4666,2022/07/26,"[2, 13, 19, 25, 29]",無
4665,2022/07/25,"[24, 25, 35, 36, 37]",無
4664,2022/07/23,"[5, 27, 32, 33, 38]",無
4663,2022/07/22,"[9, 11, 24, 26, 28]",無
4662,2022/07/21,"[4, 10, 12, 26, 36]",無
4661,2022/07/20,"[4, 8, 16, 29, 34]",無
4660,2022/07/19,"[2, 11, 16, 25, 38]",無
4659,2022/07/18,"[4, 10, 22, 32, 35]",無
4658,2022/07/16,"[10, 14, 25, 30, 35]",無
4657,2022/07/15,"[3, 22, 24, 33, 36]",無
4656,2022/07/14,"[5, 16, 21, 25, 26]",無
4655,2022/07/13,"[4, 14, 27, 34, 35]",無
4654,2022/07/12,"[1, 3, 5, 27, 31]",無
4653,2022/07/11,"[7, 15, 16, 19, 37]",無
4652,2022/07/09,"[8, 12, 21, 24, 38]",無
4651,2022/07/08,"[1, 20, 25, 30, 39]",無
4650,2022/07/07,"[9, 14, 18, 23, 35]",無
4649,2022/07/06,"[13, 14, 18, 27, 30]",無
4648,2022/07/05,"[13, 16, 21, 22, 26]",無
4647,2022/07/04,"[5, 11, 17, 31, 38]",無
4646,2022/07/02,"[3, 11, 20, 21, 28]",無
4645,2022/07/01,"[1, 2, 8, 22, 33]",無
4644,2022/06/30,"[8, 10, 16, 24, 34]",無
4643,2022/06/29,"[6, 21, 28, 36, 37]",無
4642,2022/06/28,"[8, 11, 17, 21, 38]",無
4641,2022/06/27,"[1, 3, 26, 31, 35]",無
4640,2022/06/25,"[1, 8, 12, 31, 38]",無
4639,2022/06/24,"[8, 15, 25, 31, 38]",無
4638,2022/06/23,"[4, 12, 19, 20, 33]",無
4637,2022/06/22,"[11, 17, 27, 33, 38]",無
4636,2022/06/21,"[1, 16, 23, 31, 39]",無
4635,2022/06/20,"[1, 10, 16, 35, 37]",無
4634,2022/06/18,"[7, 17, 19, 28, 29]",無
4633,2022/06/17,"[5, 14, 21, 35, 39]",無
4632,2022/06/16,"[2, 6, 11, 13, 19]",無
4631,2022/06/15,"[5, 11, 27, 32, 36]",無
4630,2022/06/14,"[1, 3, 13, 26, 27]",無
4629,2022/06/13,"[2, 4, 7, 12, 16]",無
4628,2022/06/11,"[4, 9, 13, 32, 33]",無
4627,2022/06/10,"[6, 15, 24, 36, 37]",無
4626,2022/06/09,"[1, 4, 12, 33, 34]",無
4625,2022/06/08,"[6, 17, 23, 29, 38]",無
4624,2022/06/07,"[16, 17, 18, 19, 21]",無
4623,2022/06/06,"[4, 6, 29, 36, 37]",無
4622,2022/06/04,"[7, 10, 32, 34, 37]",無
4621,2022/06/03,"[17, 23, 30, 34, 39]",無
4620,2022/06/02,"[5, 22, 25, 27, 34]",無
4619,2022/06/01,"[1, 8, 9, 12, 28]",無
4618,2022/05/31,"[3, 4, 12, 21, 22]",無
4617,2022/05/30,"[1, 4, 21, 25, 31]",無
4616,2022/05/28,"[7, 23, 28, 30, 35]",無
4615,2022/05/27,"[8, 13, 28, 30, 36]",無
4614,2022/05/26,"[9, 15, 27, 28, 30]",無
4613,2022/05/25,"[2, 11, 13, 18, 37]",無
4612,2022/05/24,"[1, 9, 11, 14, 30]",無
4611,2022/05/23,"[9, 12, 18, 25, 38]",無
4610,2022/05/21,"[1, 15, 24, 27, 36]",無
4609,2022/05/20,"[11, 13, 24, 37, 39]",無
4608,2022/05/19,"[5, 15, 22, 35, 36]",無
4607,2022/05/18,"[6, 9, 18, 24, 37]",無
4606,2022/05/17,"[24, 27, 31, 34, 37]",無
4605,2022/05/16,"[17, 20, 23, 25, 36]",無
4604,2022/05/14,"[1, 12, 19, 22, 31]",無
